"Discriminating Data: Correlation, Neighborhoods, and the New Politics of Recognition",19.45,Wendy Hui Kyong Chun,3.9 out of 5 stars
Data Infrastructure Management: Insights and Strategies,39.41,Greg Schulz,5.0 out of 5 stars
"Design for 3D Printing: Scanning, Creating, Editing, Remixing, and Making in Three Dimensions",12.29,Bertier Luyt,4.3 out of 5 stars
How to Lead in Data Science,37.99,Jike Chong,4.2 out of 5 stars
"The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling, 3rd Edition",46.9,Ralph Kimball,4.6 out of 5 stars
Modern Data Architecture on Azure: Design Data-centric Solutions on Microsoft Azure,35.99,Sagar Lad,4.0 out of 5 stars
The Application of Emerging Technology and Blockchain in the Insurance Industry (River Publishers Series in Management Sciences and Engineering),89.99,Simon Grima,No Rating
MCA Microsoft Certified Associate Azure Data Engineer Study Guide: Exam DP-203 (Sybex Study Guide),44.85,Benjamin Perkins,2.0 out of 5 stars
DP 203: Data Engineering on Microsoft Azure +290 Exam Practice Questions with detail explanations and reference links: Second Edition - 2022,13.37,IP Specialist,3.1 out of 5 stars
"Big Data, Big Design: Why Designers Should Care about Artificial Intelligence",16.99,Helen Armstrong,4.5 out of 5 stars
Data Pipelines with Apache Airflow,39.13,No Author,4.5 out of 5 stars
"Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions (Addison-Wesley Signature Series (Fowler))",47.15,Gregor Hohpe,4.7 out of 5 stars
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning),82.24,Kevin P. Murphy,4.3 out of 5 stars
"Machine Learning, revised and updated edition (The MIT Press Essential Knowledge series)",9.99,Ethem Alpaydin,4.2 out of 5 stars
Aeronautical Engineer's Data Book,30.99,No Author,4.6 out of 5 stars
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas",46.99,Silas Toms,4.5 out of 5 stars
The BIM Management Handbook,28.37,David Shepherd,4.1 out of 5 stars
Essential MATLAB for Engineers and Scientists,29.19,No Author,3.5 out of 5 stars
Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),35.09,Martina Topić,4.8 out of 5 stars
Data Analytics in the AWS Cloud: Building a Data Platform for BI and Predictive Analytics on AWS,39.13,No Author,No Rating
"Mastering Snowflake Platform: Generate, fetch, and automate Snowflake data as a skilled data practitioner (English Edition)",15.74,Pooja Kelgaonkar,No Rating
"Concurrent Data Processing in Elixir: Fast, Resilient Applications with OTP, GenStage, Flow, and Broadway",24.53,Svilen Gospodinov,4.8 out of 5 stars
Building ETL Pipelines with Python: Create and deploy enterprise-ready ETL pipelines by employing modern methods,23.99,Brij Kishore Pandey,5.0 out of 5 stars
Social Engineering: The Science of Human Hacking,22.77,Christopher Hadnagy,4.6 out of 5 stars
Powerful Command-Line Applications in Go: Build Fast and Maintainable Tools,27.53,No Author,4.4 out of 5 stars
"Data Engineering with Databricks Lakehouse Cookbook: Hands-on recipes for building effective solutions using Apache Spark, Databricks, and Delta Lake",29.99,Pulkit Chadha,No Rating
BMW ALPINA 1988-1998 PERFORMANCE PORTFOLIO: Road Test Book: A Collection of Road and Comparison Tests and Technical Data (Performance Portfolio Series),22.0,Brooklands Books Ltd,4.1 out of 5 stars
Data for All,26.99,John K. Thompson,4.8 out of 5 stars
Microsoft Certified Exam Guide - Azure Data Engineer Associate (DP-203): A Comprehensive Guide to Azure Data Engineer Associate (DP-203) Microsoft Certification,19.0,Kris Hermans,5.0 out of 5 stars
Doing Data Science,32.09,Rachel Schutt,4.4 out of 5 stars
Artificial Intelligence Through Machine Learning WIth Python: Every Line of Code Explained: 1,28.48,No Author,5.0 out of 5 stars
Data Mesh: 2 in 1 Guide. Transforming Data Architecture,19.95,No Author,No Rating
"Hands-On Simulation Modeling with Python: Develop simulation models for improved efficiency and precision in the decision-making process, 2nd Edition",37.99,Giuseppe Ciaburro,3.9 out of 5 stars
Cyber Privacy: Who Has Your Data and Why You Should Care,16.71,April Falcon Doss,4.4 out of 5 stars
SysML Distilled: A Brief Guide to the Systems Modeling Language,28.92,Lenny Delligatti,4.7 out of 5 stars
Code Complete: A Practical Handbook of Software Construction,33.15,No Author,4.6 out of 5 stars
